"materia_aie","categoria_sito","category_id","num_libri"
"BIOLOGIA - 1 ^E 2^ANNO RIORDINO","Scienze","12","1"
"BIOLOGIA - SECONDO BIENNIO","Scienze","12","2"
"CHIMICA 1^ E 2^ ANNO","Scienze","12","1"
"DIRITTO E ECONOMIA (SECONDO BIENNIO + 5°)","Diritto","2","2"
"DISCIPLINE SPORTIVE","Discipline Sportive","1","2"
"FILOSOFIA - CORSI","Filosofia","3","8"
"FISICA I BIENNIO","Fisica","4","1"
"FISICA II BIENNIO E QUINTO ANNO","Fisica","4","7"
"GEOSTORIA","Geostoria","5","1"
"INFORMATICA CORSI - 2°BIENNIO + 5 ANNO","Informatica","6","3"
"INFORMATICA LINGUAGGI, SISTEMI OPERATIVI","Informatica","6","1"
"INGLESE BIENNIO CORSI","Inglese","7","1"
"INGLESE GRAMMATICA","Inglese","7","1"
"INGLESE GRAMMATICA, INGLESE ESERCIZI","Inglese","7","1"
"INGLESE STORIA, ANTOLOGIA DI LETTERATURA","Inglese","7","3"
"INGLESE TRIENNIO CORSI, INGLESE CORSI (GRAMMATICA)","Inglese","7","1"
"ITALIANO ANTOLOGIE - BIENNIO","Italiano","8","3"
"ITALIANO ANTOLOGIE E STORIA LETTERATURA - TRIENNIO","Italiano","8","7"
"ITALIANO EPICA, ITALIANO EPICA","Italiano","8","3"
"ITALIANO GRAMMATICA - CORSI","Italiano","8","1"
"ITALIANO PROMESSI SPOSI","Italiano","8","4"
"ITALIANO PROMESSI SPOSI, ITALIANO NARRATIVA","Italiano","8","2"
"LATINO GRAMMATICA","Latino","9","2"
"LATINO LABORATORIO, LESSICO, TRADUZIONE, - CIVILTA', ESERCIZI","Latino","9","2"
"LATINO STORIA DELLA LETTERATURA","Latino","9","7"
"MATEMATICA CORSI (1^BIENNIO)","Matematica","10","4"
"MATEMATICA CORSI (2° BIENNIO + 5° ANNO)","Matematica","10","4"
"SCIENZE DELLA TERRA - (1^E 2^ANNO)","Scienze","12","1"
"SCIENZE DELLA TERRA - (SECONDO BIENNIO) + 5^CLASSE","Scienze","12","3"
"SCIENZE MOTORIE E SPORTIVE","Motoria","11","4"
"SCIENZE NATURALI - 5 ANNO LICEI","Scienze","12","1"
"STORIA - 1^E 2 ^ANNO RIORDINO","Storia","13","1"
"STORIA CLASSI 3^, 4^, 5^ - SECONDO BIENNIO + QUINTO ANNO","Storia","13","6"
"STORIA DELL'ARTE - CORSI","Arte","14","10"
"TECNOLOGIE INFORMATICHE - (INFORMATICA 1^BIENNIO)","Informatica","6","1"
